,businessname,fulladdress,latitude,longitude,inspectionidnumber,dateofinspection,inspectiontype,inspectionscore
66,BRODERS CUCINA ITALIANA,2308 50TH ST W,44.91261,-93.30907,"[[52412, 198018, 202059, 198017, 251254, 251253]]","[['2017/05/03', '2017/06/21', '2017/08/15', '2018/05/18', '2018/07/03', '2019/05/17']]","[['Routine', 'Follow-Up', 'Follow-Up', 'Routine', 'Follow-Up', 'Routine']]","[[88, 92, 100, 92, 96, 94]]"
67,BRODERS TERZO,2221 50TH ST W,44.91216,-93.30845,"[[52443, 199692, 199691, 251252, 254692, 251251]]","[['2017/05/15', '2017/06/21', '2018/05/18', '2018/07/03', '2018/09/06', '2019/05/17']]","[['Routine', 'Follow-Up', 'Routine', 'Follow-Up', 'Follow-Up', 'Routine']]","[[88, 100, 94, 94, 96, 96]]"
68,BRODERS' PASTA BAR,5000 PENN AVE S,44.91209,-93.30903,"[[52431, 199690, 199689, 251248, 251247]]","[['2017/05/15', '2017/06/21', '2018/05/18', '2018/07/03', '2019/05/17']]","[['Routine', 'Follow-Up', 'Routine', 'Follow-Up', 'Routine']]","[[90, 96, 94, 100, 96]]"
69,BROTHERS,430 1ST AVE N,44.98088,-93.27368,"[[52474, 203559, 254241, 254240]]","[['2017/07/05', '2018/07/05', '2018/07/25', '2019/07/15']]","[['Routine', 'Routine', 'Follow-Up', 'Routine']]","[[100, 96, 100, 92]]"
70,BROTHERS DELI,50 6TH ST S,44.97841,-93.27178,"[[52505, 192517, 196695, 192516, 246108, 246107, 307702]]","[['2017/03/07', '2017/04/24', '2017/06/01', '2018/03/15', '2018/04/17', '2019/03/26', '2019/04/25']]","[['Routine', 'Follow-Up', 'Follow-Up', 'Routine', 'Follow-Up', 'Routine', 'Follow-Up']]","[[82, 88, 100, 76, 96, 90, 100]]"
71,BRUEGGERS BAGEL BAKERY,228 HENNEPIN AVE E,44.98746,-93.25676,"[[52680, 190561, 189702, 254726]]","[['2017/01/13', '2017/03/21', '2018/07/16', '2020/01/09']]","[['Routine', 'Follow-Up', 'Routine', 'Routine']]","[[96, 100, 100, 98]]"
72,BRUEGGERS BAGEL BAKERY,720 WASHINGTON AVE SE,44.97333,-93.22759,"[[52632, 192079]]","[['2017/03/07', '2018/09/13']]","[['Routine', 'Routine']]","[[98, 98]]"
73,BRUEGGERS BAGEL BAKERY,651 NICOLLET MALL #139,44.97719,-93.27137,"[[52656, 209027, 227802, 233539, 209026]]","[['2017/07/31', '2017/10/05', '2017/11/21', '2018/01/12', '2019/01/25']]","[['Routine', 'Follow-Up', 'Follow-Up', 'Follow-Up', 'Routine']]","[[88, 90, 98, 100, 98]]"
74,BRYANT LAKE BOWL,810 LAKE ST W,44.94866,-93.29028,"[[277718, 287154, 287153]]","[['2019/01/08', '2019/02/12', '2020/01/08']]","[['Routine', 'Follow-Up', 'Routine']]","[[94, 98, 96]]"
75,BRYN MAWR MARKET,412 CEDAR LAKE RD S,44.97377,-93.30876,[[52748]],[['2018/06/08']],[['Routine']],[[96]]
76,BRYN MAWR PIZZA & DELI,404 CEDAR LAKE RD S,44.97377,-93.30876,"[[52765, 196368, 247285]]","[['2017/03/27', '2018/04/04', '2019/04/03']]","[['Routine', 'Routine', 'Routine']]","[[94, 94, 98]]"
77,BUCA DI BEPPO,1204 HARMON PL,44.974,-93.28005,"[[52811, 225698, 225697, 272062, 331111]]","[['2017/09/12', '2017/10/24', '2018/09/13', '2019/10/01', '2019/10/17']]","[['Routine', 'Follow-Up', 'Routine', 'Routine', 'Follow-Up']]","[[80, 96, 96, 82, 92]]"
